student stdTest classroom grade treatment score
1 72.4 1 5 0 12
2 72.4 1 5 0 10
3 72.4 1 5 0 4
4 72.4 1 5 0 12
5 72.4 1 5 0 7
6 72.4 1 5 0 3
7 72.4 1 5 0 11
8 72.4 1 5 0 13
9 72.4 1 5 0 12
10 72.4 1 5 0 7
11 72.4 1 5 0 16
12 72.4 1 5 0 6
13 72.4 1 5 0 2
14 72.4 1 5 0 11
15 72.4 1 5 0 15
16 72.4 1 5 0 7
17 72.4 1 5 0 14
18 72.4 1 5 0 12
19 72.4 1 5 0 1
20 72.4 1 5 0 11
21 72.4 1 5 0 -1
22 72.4 1 5 0 4
23 72.4 1 5 0 14
24 72.4 1 5 0 10
25 72.4 1 5 0 4
26 72.4 1 5 0 11
27 72.4 1 5 0 6
28 72.4 1 5 0 5
29 72.4 1 5 0 10
30 81.7 2 5 1 21
31 81.7 2 5 1 13
32 81.7 2 5 1 11
33 81.7 2 5 1 12
34 81.7 2 5 1 7
35 81.7 2 5 1 1
36 81.7 2 5 1 11
37 81.7 2 5 1 16
38 81.7 2 5 1 16
39 81.7 2 5 1 18
40 81.7 2 5 1 19
41 81.7 2 5 1 5
42 81.7 2 5 1 16
43 81.7 2 5 1 19
44 81.7 2 5 1 17
45 81.7 2 5 1 19
46 81.7 2 5 1 14
47 81.7 2 5 1 12
48 81.7 2 5 1 15
49 81.7 2 5 1 10
50 81.7 2 5 1 21
51 81.7 2 5 1 9
52 81.7 2 5 1 18
53 81.7 2 5 1 21
54 81.7 2 5 1 22
55 81.7 2 5 1 18
56 81.7 2 5 1 18
57 81.7 2 5 1 19
58 81.7 2 5 1 13
59 81.7 2 5 1 16
60 76.8 3 3 1 2
61 76.8 3 3 1 -1
62 76.8 3 3 1 -5
63 76.8 3 3 1 7
64 76.8 3 3 1 -2
65 76.8 3 3 1 -2
66 76.8 3 3 1 -1
67 76.8 3 3 1 1
68 76.8 3 3 1 0
69 76.8 3 3 1 -4
70 76.8 3 3 1 1
71 76.8 3 3 1 -1
72 76.8 3 3 1 2
73 76.8 3 3 1 7
74 76.8 3 3 1 -6
75 76.8 3 3 1 -3
76 76.8 3 3 1 0
77 76.8 3 3 1 3
78 76.8 3 3 1 5
79 76.8 3 3 1 -1
80 76.8 3 3 1 0
81 76.8 3 3 1 -8
82 71 4 5 1 6
83 71 4 5 1 4
84 71 4 5 1 0
85 71 4 5 1 7
86 71 4 5 1 5
87 71 4 5 1 8
88 71 4 5 1 7
89 71 4 5 1 12
90 71 4 5 1 3
91 71 4 5 1 9
92 71 4 5 1 7
93 71 4 5 1 8
94 71 4 5 1 -1
95 71 4 5 1 10
96 71 4 5 1 11
97 71 4 5 1 5
98 71 4 5 1 11
99 71 4 5 1 9
100 71 4 5 1 -2
101 71 4 5 1 3
102 71 4 5 1 11
103 71 4 5 1 11
104 71 4 5 1 3
105 71 4 5 1 9
106 71 4 5 1 15
107 71 4 5 1 1
108 71 4 5 1 0
109 71 4 5 1 7
110 71 4 5 1 9
111 71 4 5 1 12
112 62.5 5 5 1 9
113 62.5 5 5 1 8
114 62.5 5 5 1 15
115 62.5 5 5 1 12
116 62.5 5 5 1 -1
117 62.5 5 5 1 16
118 62.5 5 5 1 5
119 62.5 5 5 1 10
120 62.5 5 5 1 8
121 62.5 5 5 1 5
122 62.5 5 5 1 16
123 62.5 5 5 1 16
124 62.5 5 5 1 8
125 62.5 5 5 1 9
126 62.5 5 5 1 1
127 62.5 5 5 1 5
128 62.5 5 5 1 16
129 62.5 5 5 1 7
130 62.5 5 5 1 3
131 62.5 5 5 1 7
132 62.5 5 5 1 11
133 62.5 5 5 1 19
134 62.5 5 5 1 12
135 62.5 5 5 1 12
136 62.5 5 5 1 10
137 62.5 5 5 1 1
138 62.5 5 5 1 11
139 62.5 5 5 1 17
140 83.2 6 3 1 11
141 83.2 6 3 1 14
142 83.2 6 3 1 19
143 83.2 6 3 1 5
144 83.2 6 3 1 19
145 83.2 6 3 1 7
146 83.2 6 3 1 9
147 83.2 6 3 1 19
148 83.2 6 3 1 13
149 83.2 6 3 1 6
150 83.2 6 3 1 6
151 83.2 6 3 1 14
152 83.2 6 3 1 19
153 83.2 6 3 1 11
154 83.2 6 3 1 10
155 83.2 6 3 1 13
156 83.2 6 3 1 14
157 83.2 6 3 1 24
158 83.2 6 3 1 15
159 83.2 6 3 1 16
160 83.2 6 3 1 15
161 83.2 6 3 1 14
162 63 7 3 1 4
163 63 7 3 1 -14
164 63 7 3 1 0
165 63 7 3 1 7
166 63 7 3 1 4
167 63 7 3 1 -7
168 63 7 3 1 1
169 63 7 3 1 6
170 63 7 3 1 -8
171 63 7 3 1 1
172 63 7 3 1 -5
173 63 7 3 1 -3
174 63 7 3 1 -3
175 63 7 3 1 5
176 63 7 3 1 -6
177 63 7 3 1 -2
178 63 7 3 1 1
179 63 7 3 1 -10
180 63 7 3 1 4
181 63 7 3 1 -3
182 63 7 3 1 -9
183 63 7 3 1 1
184 71.9 8 3 0 12
185 71.9 8 3 0 6
186 71.9 8 3 0 4
187 71.9 8 3 0 10
188 71.9 8 3 0 8
189 71.9 8 3 0 11
190 71.9 8 3 0 7
191 71.9 8 3 0 6
192 71.9 8 3 0 -3
193 71.9 8 3 0 10
194 71.9 8 3 0 6
195 71.9 8 3 0 8
196 71.9 8 3 0 11
197 71.9 8 3 0 7
198 71.9 8 3 0 4
199 71.9 8 3 0 6
200 71.9 8 3 0 4
201 71.9 8 3 0 12
202 71.9 8 3 0 -1
203 71.9 8 3 0 2
204 71.9 8 3 0 9
205 72.4 9 5 1 7
206 72.4 9 5 1 6
207 72.4 9 5 1 0
208 72.4 9 5 1 7
209 72.4 9 5 1 5
210 72.4 9 5 1 17
211 72.4 9 5 1 2
212 72.4 9 5 1 12
213 72.4 9 5 1 12
214 72.4 9 5 1 15
215 72.4 9 5 1 11
216 72.4 9 5 1 3
217 72.4 9 5 1 11
218 72.4 9 5 1 4
219 72.4 9 5 1 8
220 72.4 9 5 1 4
221 72.4 9 5 1 7
222 72.4 9 5 1 13
223 72.4 9 5 1 2
224 72.4 9 5 1 7
225 72.4 9 5 1 19
226 72.4 9 5 1 3
227 72.4 9 5 1 8
228 60.5 10 5 1 7
229 60.5 10 5 1 1
230 60.5 10 5 1 5
231 60.5 10 5 1 -5
232 60.5 10 5 1 4
233 60.5 10 5 1 -4
234 60.5 10 5 1 -2
235 60.5 10 5 1 4
236 60.5 10 5 1 1
237 60.5 10 5 1 3
238 60.5 10 5 1 7
239 60.5 10 5 1 -5
240 60.5 10 5 1 -4
241 60.5 10 5 1 8
242 60.5 10 5 1 -2
243 60.5 10 5 1 -4
244 60.5 10 5 1 -3
245 60.5 10 5 1 3
246 60.5 10 5 1 8
247 60.5 10 5 1 2
248 85.7 11 5 1 12
249 85.7 11 5 1 10
250 85.7 11 5 1 11
251 85.7 11 5 1 10
252 85.7 11 5 1 11
253 85.7 11 5 1 20
254 85.7 11 5 1 4
255 85.7 11 5 1 4
256 85.7 11 5 1 15
257 85.7 11 5 1 4
258 85.7 11 5 1 11
259 85.7 11 5 1 10
260 85.7 11 5 1 13
261 85.7 11 5 1 16
262 85.7 11 5 1 27
263 85.7 11 5 1 11
264 85.7 11 5 1 13
265 85.7 11 5 1 9
266 85.7 11 5 1 5
267 85.7 11 5 1 13
268 85.7 11 5 1 18
269 85.7 11 5 1 15
270 85.7 11 5 1 12
271 85.7 11 5 1 16
272 85.7 11 5 1 18
273 85.7 11 5 1 10
274 85.7 11 5 1 3
275 85.7 11 5 1 8
276 82.1 12 3 0 3
277 82.1 12 3 0 -7
278 82.1 12 3 0 9
279 82.1 12 3 0 6
280 82.1 12 3 0 10
281 82.1 12 3 0 13
282 82.1 12 3 0 3
283 82.1 12 3 0 17
284 82.1 12 3 0 3
285 82.1 12 3 0 8
286 82.1 12 3 0 8
287 82.1 12 3 0 -6
288 82.1 12 3 0 4
289 82.1 12 3 0 8
290 82.1 12 3 0 10
291 82.1 12 3 0 8
292 82.1 12 3 0 1
293 82.1 12 3 0 -5
294 82.1 12 3 0 11
295 82.1 12 3 0 -3
296 82.1 12 3 0 4
297 82.1 12 3 0 13
298 82.1 12 3 0 8
299 82.1 12 3 0 2
300 82.1 12 3 0 11
301 82.1 12 3 0 3
302 76.9 13 5 0 10
303 76.9 13 5 0 23
304 76.9 13 5 0 23
305 76.9 13 5 0 20
306 76.9 13 5 0 27
307 76.9 13 5 0 12
308 76.9 13 5 0 13
309 76.9 13 5 0 15
310 76.9 13 5 0 12
311 76.9 13 5 0 7
312 76.9 13 5 0 29
313 76.9 13 5 0 24
314 76.9 13 5 0 17
315 76.9 13 5 0 8
316 76.9 13 5 0 17
317 76.9 13 5 0 9
318 76.9 13 5 0 15
319 76.9 13 5 0 9
320 76.9 13 5 0 13
321 76.9 13 5 0 17
322 73.7 14 3 0 5
323 73.7 14 3 0 5
324 73.7 14 3 0 4
325 73.7 14 3 0 3
326 73.7 14 3 0 10
327 73.7 14 3 0 10
328 73.7 14 3 0 7
329 73.7 14 3 0 10
330 73.7 14 3 0 10
331 73.7 14 3 0 15
332 73.7 14 3 0 3
333 73.7 14 3 0 17
334 73.7 14 3 0 13
335 73.7 14 3 0 7
336 73.7 14 3 0 12
337 73.7 14 3 0 9
338 73.7 14 3 0 5
339 73.7 14 3 0 4
340 73.7 14 3 0 0
341 73.7 14 3 0 13
342 73.7 14 3 0 6
343 73.7 14 3 0 9
344 73.7 14 3 0 5
345 73.7 14 3 0 16
346 73.7 14 3 0 1
347 73.7 14 3 0 20
348 75.1 15 3 0 -9
349 75.1 15 3 0 7
350 75.1 15 3 0 5
351 75.1 15 3 0 4
352 75.1 15 3 0 8
353 75.1 15 3 0 -9
354 75.1 15 3 0 5
355 75.1 15 3 0 -5
356 75.1 15 3 0 2
